Species Name,Type,Source,Range ,COSEWICID
Pedicularis labradorica var. sulphurea,Endemics,NatureServe,Yes,NA
Philocasca alba,Endemics,NatureServe,Yes,NA
Philocasca thor,Endemics,NatureServe,Yes,NA
Phoca vitulina mellonae,Endemics,NatureServe,Yes,NA
Physa gyrina athearni,Endemics,NatureServe,Yes,NA
Physa gyrina latchfordi,Endemics,NatureServe,Yes,NA
Physella johnsoni,Endemics,NatureServe,Yes,NA
Physella wrighti,Endemics,NatureServe,Yes,NA
Planorbella campanulata collinsi,Endemics,NatureServe,Yes,NA
Planorbella corpulenta whiteavesi,Endemics,NatureServe,Yes,NA
Plebejus saepiolus insulanus,Endemics,NatureServe,Yes,NA
Poa ammophila,Endemics,NatureServe,Yes,NA
Polygonum fowleri ssp. hudsonianum,Endemics,NatureServe,Yes,NA
Pontia sisymbrii beringiensis,Endemics,NatureServe,Yes,NA
Pyganodon fragilis,Endemics,NatureServe,Yes,NA
Ramellogammarus vancouverensis,Endemics,NatureServe,Yes,NA
Rangifer tarandus dawsoni,Endemics,NatureServe,Yes,NA
Rangifer tarandus pearyi,Endemics,NatureServe,Yes,NA
Ranunculus allenii,Endemics,NatureServe,Yes,NA
Ranunculus occidentalis var. hexasepalus,Endemics,NatureServe,Yes,NA
Resapamea mammuthus,Endemics,NatureServe,Yes,NA
Restricted Species 42,Endemics,NatureServe,Yes,NA
Restricted Species 49,Endemics,NatureServe,Yes,NA
Restricted Species 61,Endemics,NatureServe,Yes,NA
Restricted Species 71,Endemics,NatureServe,Yes,NA
Restricted Species 86,Endemics,NatureServe,Yes,NA
Rhinichthys cataractae smithi,Endemics,NatureServe,Yes,NA
Rhithrogena gaspeensis,Endemics,NatureServe,Yes,NA
Rhyacophila milnei,Endemics,NatureServe,Yes,NA
Rorippa crystallina,Endemics,NatureServe,Yes,NA
Rumex subarcticus,Endemics,NatureServe,Yes,NA
Sabulina litorea,Endemics,NatureServe,Yes,NA
Salix brachycarpa var. psammophila,Endemics,NatureServe,Yes,NA
Salix calcicola var. calcicola,Endemics,NatureServe,Yes,NA
Salix chlorolepis,Endemics,NatureServe,Yes,NA
Salix jejuna,Endemics,NatureServe,Yes,NA
Salix raupii,Endemics,NatureServe,Yes,NA
Salix silicicola,Endemics,NatureServe,Yes,NA
Salix turnorii,Endemics,NatureServe,Yes,NA
Salix tyrrellii,Endemics,NatureServe,Yes,NA
Sanfilippodytes bertae,Endemics,NatureServe,Yes,NA
Schinia sexata,Endemics,NatureServe,Yes,NA
Schinia verna,Endemics,NatureServe,Yes,NA
Seirophora aurantiaca,Endemics,NatureServe,Yes,NA
Seligeria careyana,Endemics,NatureServe,Yes,NA
Senecio sheldonensis,Endemics,NatureServe,Yes,NA
Sinosenecio newcombei,Endemics,NatureServe,Yes,NA
Solidago chlorolepis,Endemics,NatureServe,Yes,NA
Somatochlora septentrionalis,Endemics,NatureServe,Yes,NA
Sorex maritimensis,Endemics,NatureServe,Yes,NA
Sorex navigator brooksi,Endemics,NatureServe,Yes,NA
Speyeria callippe chilcotinensis,Endemics,NatureServe,Yes,NA
Spiranthes casei var. novaescotiae,Endemics,NatureServe,Yes,NA
Staala gwaii,Endemics,NatureServe,Yes,NA
Stagnicola kennicotti,Endemics,NatureServe,Yes,NA
Stellaria longipes ssp. arenicola,Endemics,NatureServe,Yes,NA
Stygobromus canadensis,Endemics,NatureServe,Yes,NA
Stygobromus secundus,Endemics,NatureServe,Yes,NA
Symphyotrichum laurentianum,Endemics,NatureServe,Yes,NA
Symphyotrichum nahanniense,Endemics,NatureServe,Yes,NA
Symphyotrichum novi-belgii var. crenifolium,Endemics,NatureServe,Yes,NA
Synaptomys borealis borealis,Endemics,NatureServe,Yes,NA
Syntrichia cainii,Endemics,NatureServe,Yes,NA
Tanacetum huronense var. floccosum,Endemics,NatureServe,Yes,NA
Taraxacum laurentianum,Endemics,NatureServe,Yes,NA
Temnothorax fragosus,Endemics,NatureServe,Yes,NA
Thomomys talpoides segregatus,Endemics,NatureServe,Yes,NA
Tortula cuneifolia var. blissii,Endemics,NatureServe,Yes,NA
Trematodon montanus,Endemics,NatureServe,Yes,NA
Tricholochmaea sablensis,Endemics,NatureServe,Yes,NA
Triepeolus brittaini,Endemics,NatureServe,Yes,NA
Ursus americanus kermodei,Endemics,NatureServe,Yes,NA
Usnea fibrillosa,Endemics,NatureServe,Yes,NA
Utacapnia labradora,Endemics,NatureServe,Yes,NA
Vallonia terraenovae,Endemics,NatureServe,Yes,NA
Viola biflora var. carlottae,Endemics,NatureServe,Yes,NA
Wijkia carlottae,Endemics,NatureServe,Yes,NA
Xanthorhoe clarkeata,Endemics,NatureServe,Yes,NA
Zonotrichia querula,Endemics,NatureServe,Yes,NA
Rhea americana,Common Species,eBird,Yes,NA
Crypturellus transfasciatus,Common Species,eBird,Yes,NA
Dendrocygna viduata,Common Species,eBird,Yes,NA
Dendrocygna autumnalis,Common Species,eBird,Yes,NA
Dendrocygna arborea,Common Species,eBird,Yes,NA
Dendrocygna bicolor,Common Species,eBird,Yes,NA
Anser canagicus,Common Species,eBird,Yes,NA
Anser caerulescens,Common Species,eBird,Yes,NA
Anser rossii,Common Species,eBird,Yes,NA
Anser albifrons,Common Species,eBird,Yes,NA
Branta bernicla,Common Species,eBird,Yes,NA
